Year,Crime_Rate,State,State
1987,3.4949, WI,Wisconsin
1987,2.0408, WY,Wyoming
1988,9.8861, AL,Alabama
1988,5.653, AK,Alaska
1988,8.4824, AZ,Arizona
1988,8.7118, AR,Arkansas
1988,10.4232, AR,Arkansas
1988,5.6839, CO,Colorado
1988,5.3687, CT,Connecticut
1988,5.1515, DE,Delaware
1988,59.5161, DC,Washington
1988,11.4406, FL,Florida
1988,11.6857, GA,Georgia
1988,4.0256, HI,Hawaii
1988,3.6036, ID,Idaho
1988,8.5845, IL,Illinois
1988,6.4215, IN,Indiana
1988,1.6584, IA,Iowa
1988,3.4178, KS,Kansas
1988,6.1543, KY,Kentucky
1988,11.5837, LA,Louisiana
1988,3.068, ME,Maine
1988,9.6684, MD,Maryland
1988,3.5428, MA,Massachusetts
1988,8.5649, MI,Michigan
1988,10.8495, MI,Michigan
1988,2.8797, MN,Minnesota
1988,8.0366, MO,Missouri
1988,2.6119, MT,Montana
1988,3.6227, NE,Nebraska
1988,10.4717, NV,Nevada
1988,2.2789, NH,New Hampshire
1988,5.3238, NJ,New Jersey
1988,11.457, NM,New Mexico
1988,12.5377, NY,New York
1988,7.8149, NC,North Carolina
1988,1.81, ND,North Dakota
1988,5.3808, OH,Ohio
1988,7.4471, OK,Oklahoma
1988,5.0711, OR,Oregon
1988,5.4877, PA,Pennsylvania
1988,9.3043, SC,South Carolina
1988,3.0769, SD,South Dakota
1988,9.3718, TN,Tennessee
1988,12.0501, TX,Texas
1988,2.7794, UT,Utah
1988,1.9784, VT,Vermont
1988,7.8052, VA,Virginia
1988,5.7155, WA,Washington
1988,4.9363, WV,West Virginia
1988,2.9642, WI,Wisconsin
1988,2.5478, WY,Wyoming
1989,10.2234, AL,Alabama
1989,7.9696, AK,Alaska
1989,6.6648, AZ,Arizona
1989,8.4372, AR,Arkansas
1989,10.866, AR,Arkansas
1989,4.4016, CO,Colorado
1989,5.866, CT,Connecticut
1989,5.052, DE,Delaware
1989,71.8543, DC,Washington
1989,11.0883, FL,Florida
1989,12.7408, GA,Georgia
1989,4.7662, HI,Hawaii
1989,2.5641, ID,Idaho
1989,9.0153, IL,Illinois
1989,6.3115, IN,Indiana
1989,1.9014, IA,Iowa
1989,5.4914, KS,Kansas
1989,7.8616, KY,Kentucky
1989,14.9019, LA,Louisiana
1989,3.1915, ME,Maine
1989,11.5893, MD,Maryland
1989,4.2956, MA,Massachusetts
1989,9.6528, MI,Michigan
1989,10.7085, MI,Michigan
1989,2.55, MN,Minnesota
1989,7.9279, MO,Missouri
1989,2.8536, MT,Montana
1989,2.4829, NE,Nebraska
1989,8.1908, NV,Nevada
1989,3.252, NH,New Hampshire
1989,5.0931, NJ,New Jersey
1989,8.6387, NM,New Mexico
1989,12.5125, NY,New York
1989,8.8875, NC,North Carolina
1989,0.6061, ND,North Dakota
1989,5.9778, OH,Ohio
1989,6.5136, OK,Oklahoma
1989,4.7518, OR,Oregon
1989,6.2542, PA,Pennsylvania
1989,9.1116, SC,South Carolina
1989,1.2587, SD,South Dakota
1989,8.4413, TN,Tennessee
1989,11.9416, TX,Texas
1989,2.6362, UT,Utah
1989,1.94, VT,Vermont
1989,7.8714, VA,Virginia
1989,4.3898, WA,Washington
1989,6.5159, WV,West Virginia
1989,3.6162, WI,Wisconsin
1989,4.4211, WY,Wyoming
1990,11.5577, AL,Alabama
1990,7.454, AK,Alaska
1990,7.7485, AZ,Arizona
1990,10.2522, AR,Arkansas
1990,11.9388, AR,Arkansas
1990,4.1889, CO,Colorado
1990,5.05, CT,Connecticut
1990,4.9537, DE,Delaware
1990,77.7723, DC,Washington
1990,10.6586, FL,Florida
1990,11.8397, GA,Georgia
1990,3.9703, HI,Hawaii
1990,2.6819, ID,Idaho
1990,10.3407, IL,Illinois
1990,6.2047, IN,Indiana
1990,1.9447, IA,Iowa
1990,3.9555, KS,Kansas
1990,7.1636, KY,Kentucky
1990,17.1565, LA,Louisiana
1990,2.4431, ME,Maine
1990,11.5446, MD,Maryland
1990,4.0389, MA,Massachusetts
1990,12.1638, MI,Michigan
1990,10.4461, MI,Michigan
1990,2.6742, MN,Minnesota
1990,8.7745, MO,Missouri
1990,4.8807, MT,Montana
1990,2.7243, NE,Nebraska
1990,9.6519, NV,Nevada
1990,1.8932, NH,New Hampshire
1990,5.5885, NJ,New Jersey
1990,9.1745, NM,New Mexico
1990,14.4799, NY,New York
1990,10.7262, NC,North Carolina
1990,0.7827, ND,North Dakota
1990,6.1122, OH,Ohio
1990,8.043, OK,Oklahoma
1990,3.7997, OR,Oregon
1990,6.7415, PA,Pennsylvania
1990,11.1854, SC,South Carolina
1990,2.0115, SD,South Dakota
